MCS; EVENT_ID; CELL_TYPE; CELL_ID; Parent_ID; Last_Stem_Cell_ID; P_STEM; MAX_DIVISIONS; CURRENT_DIVISIONS
0; INIT; 1; 1; 1; 1; 0.25; 8.0; 0
0; INIT; 1; 2; 2; 2; 0.25; 8.0; 0
0; INIT; 1; 3; 3; 3; 0.25; 8.0; 0
0; INIT; 1; 4; 4; 4; 0.25; 8.0; 0
0; INIT; 1; 5; 5; 5; 0.25; 8.0; 0
0; INIT; 1; 6; 6; 6; 0.25; 8.0; 0
0; INIT; 1; 7; 7; 7; 0.25; 8.0; 0
0; INIT; 1; 8; 8; 8; 0.25; 8.0; 0
0; INIT; 1; 9; 9; 9; 0.25; 8.0; 0
0; INIT; 1; 10; 10; 10; 0.25; 8.0; 0
0; INIT; 1; 11; 11; 11; 0.25; 8.0; 0
0; INIT; 1; 12; 12; 12; 0.25; 8.0; 0
0; INIT; 1; 13; 13; 13; 0.25; 8.0; 0
0; INIT; 1; 14; 14; 14; 0.25; 8.0; 0
0; INIT; 1; 15; 15; 15; 0.25; 8.0; 0
0; INIT; 1; 16; 16; 16; 0.25; 8.0; 0
0; INIT; 1; 17; 17; 17; 0.25; 8.0; 0
0; INIT; 1; 18; 18; 18; 0.25; 8.0; 0
0; INIT; 1; 19; 19; 19; 0.25; 8.0; 0
0; INIT; 1; 20; 20; 20; 0.25; 8.0; 0
0; INIT; 1; 21; 21; 21; 0.25; 8.0; 0
0; INIT; 1; 22; 22; 22; 0.25; 8.0; 0
0; INIT; 1; 23; 23; 23; 0.25; 8.0; 0
0; INIT; 1; 24; 24; 24; 0.25; 8.0; 0
0; INIT; 1; 25; 25; 25; 0.25; 8.0; 0
0; INIT; 1; 26; 26; 26; 0.25; 8.0; 0
0; INIT; 1; 27; 27; 27; 0.25; 8.0; 0
0; INIT; 1; 28; 28; 28; 0.25; 8.0; 0
0; INIT; 1; 29; 29; 29; 0.25; 8.0; 0
0; INIT; 1; 30; 30; 30; 0.25; 8.0; 0
0; INIT; 1; 31; 31; 31; 0.25; 8.0; 0
0; INIT; 1; 32; 32; 32; 0.25; 8.0; 0
0; INIT; 1; 33; 33; 33; 0.25; 8.0; 0
0; INIT; 1; 34; 34; 34; 0.25; 8.0; 0
0; INIT; 1; 35; 35; 35; 0.25; 8.0; 0
0; INIT; 1; 36; 36; 36; 0.25; 8.0; 0
0; INIT; 1; 37; 37; 37; 0.25; 8.0; 0
0; INIT; 1; 38; 38; 38; 0.25; 8.0; 0
